Q,A
뭐 추모하기도 전에 이상한거에 발작버튼 눌려서 아니꼬와하고 비꼬고 하는 애들 진짜 사회생활 가능이냐? 누가 억지로 떠미는것도 아니고 아니꼬우면 가만히라도 있던가 조롱하는게 사람새끼들인가 싶네 ㅋㅋ 그렇게 하면 나자신이 좀 이성적이게 보이고 멋져보이나?,너무나 안타깝고 어이없게 사람들이 죽었는데 감성팔이니 뭐니 가볍게 입에 올리는건 진짜 생각이 짧은거다
포켓몬빵 광기도 그렇고 정신병자같음.뭐 유행하면 일단 다 따라해.그러니까 ㅡ Young 한데요? 완전 MZ스러운데요?라면서 비아냥 듣는거아냐,그러니까 유행이지
그냥 이런 사고 볼때마다 혹시몰라 배워두는게 낫겠다 싶네나 군대 안가니까 군대가면 배운다는 말은 안해줘도 됨,대회도 함
?,생활비 80 월세+관리비 40..?
수요일에 예비군훈련인데 군복이 안맞음  군복 빌릴수 있는데가 있나? ㅋㅋ,거기서 말하면 빌려줄걸?
소방관이나 경찰관한테 주면 피해자 지원금 주는거 1도뭐라안하려고,당연 차라리 그게 낫다
물론 안타까운일이고 안좋게 된 사람들 애도하고 있음근데국가에서 지정한 기념일인가? x국가에서 진행하는 페스티벌인가? x생업을 종사하다가 생긴 재난인가? x공적인 업무였나? x단순히 술마시면서 놀러갔다가 변 당한걸 왜국가 세금을 쓰려고함?,거리에서 150명이 죽어서 재난지역 일단 선포한건데 그게 법에 명시되있으니 어쩔수 없능거지
토익시험 무조건 봐야되나요? 안보면 F인가요?,진설은 교수 상관없이 토익필수 아닌가
하면 어디서 해??학교 말고 다른 곳 가고싶어..,스터디카페
알려줄 사람 ㅠ,맘터는 너무 막무가낸데 몬스터버거가자
기장은 크롭기장이구 브이넥으로 파져서 안에 나시 입어야돼  가격은 39900원이고  어때??,너도 율무..?ㅎ
국가적 애도선포는 왜하는거임?,삭제된 댓글입니다.
예능프로랑 상관없는거 아님??,아 다같이 추모해야되는데 예능보면서 깔깔 웃으면 되겠냐고~
"우리학교도 무료심리검사 받을 수 있는 곳이 있나요? mbti나 tci, hip 등등이요 한 번 해보고 싶어요",mbti는 인터넷으로 찾아서 하셔도 됩니다
옷사려는데 학교랑 너무 멀지 않으면서 옷 많고 ㄱㅊ은곳 추천좀,학교랑 가까운 아울렛이면 모다?
여자분들 ㅠ 양말 안신고 스타킹만 신자니 뒤에가 까질거 같아서요 다들 어떻게 신으세욮,양말 신어요
"국가애도기간은 말로만 애도가 아니라 지자체 축제는 물론이고 기업 축제가 연기되거나 취소되고 방송사들이 한 달간 예능 프로그램 송출을 자제하고 그 기간동안 예체능 관련 업계 종사자들이 생계에 피해 입는 걸 감수해야 할 정도의 영향력이 있는 선포임.천안함 사고의 경우 대한민국의 해군이 국민을 보호하기 위해 일하는 도중에 일어난 참사이기 때문에 그 분들을 기리기 위해서 국가애도기간을 선포한 거임. 나라를 지키다가 돌아가셨으니까.이 이후에도 대형 참사는 있었음. 하지만 개인들의 자발적인 애도는 있었어도 국가 주도로 애도기간을 선포하지 않은건, 영향력이 큰 선포인 만큼 어디서 무엇을 하다가 일어난 사건인가에 초점을 두었기 때문임.그런데 이번 이태원 할로윈 참사는 지자체 주도 축제도 아니었고 개인들의 자발적인 주도와 참여로 즐거움을 추구하기 위해 이루어진 행사였음. 너무나도 안타까운 대형 참사인 것이 맞고 모든 생명은 동등하니 무엇이 더 중한지 따질 수 없는 것도 맞음. 하지만 국가애도기간을 공식적으로 선포해서 국민들이 자신의 무언가를 포기해가며 애도기간을 가지는 것을 납득하고 정부부처와 관공서들이 조기게양을 할 정도의 사고인가에는 의문이 듦.",난 애도기간이 말 그래도 개인적으로 애도해라 이런 건줄 알았더니..
진짜 살인자 새끼 아님?,현실적으로 못 잡을 듯..
시호루에 로투스케이크 나오나요..?,네
퇴근하셨는데 새벽에 거기가서 사람들 사이에 깔려있는 시체 끄집어내고 사방에서 비명소리들리고  구하고 싶은데 구할 수 없는 상황?이거 진짜 평생트라우마로 남고 지금도 못주무실 수도 있음 다들 피해자들에게만 포커스가 맞춰져있는데 진짜 보상받아야하는 분들은 그날 현장에 출동하신 분들임,인정
사망자가 골목길 하나에서만 나온 거야?? 여러 골목에서 동시다발적으로 사고 난건줄 알았는데..,하나임
세월호처럼 특검까지해서 돈주고 보상해주자는 것도 아닌데 애도하는게 말이안된다고 생각해??,ㄹㅇ 왤케 꼬여서 생각들 하나 싶음
왜 다 굳이 저 좁은 골목으로 들어가려고 사람 그렇게 빽빽한데도 들어간거야? 더 넓은 다른 골목 없어?,그냥 수많은 구역중에 하나임 그래서 다른 구역에 있던 사람들은 모르고 놀았대
본인 자식 죽은걸로 이게 나라냐? 라고 하네참 안됐긴한데 솔직히 본인과 본인자식 책임 아니냐또 사망보상금 달라고 나라가 어지럽겠다,비난할 대상이 필요한거지 뭐
11시경에 서든어택 클랜전 하다가 갑자기클랜원이 자기 누나 응급실 갔다고 나가봐야겠다고 해서 속으로 갑자기 응급실..? 생각하면서 알겠다고 게임져도 되니까 얼른 나가보라고 했는데시간이 딱 보니까 이태원 사고난 시간이네..뒤늦게 소름,에휴 안됐네
https://www.instagram.com/tv/CkTg3DpgQZu/?igshid=YmMyMTA2M2Y=,좀비임
설마 대전도 할로윈이라고 사람 몰리려나?; 나 할로윈인거 생각도 못하고 약속잡은 거였는데..,그냥 집에있자 이렇게 심난한 상황에 나라면 잘 놀지 못할것같음...
근데 영상이나 사진좀 그만 쳐올려라먼 자유생각이 있냐? 그 영상에 사상자가 있다고머리가 있음 생각이란걸 해라,ㄹㅇ 올리지 말라고 계속 게시글도 올라왔는데 mz세대들 특인가 지만 괜찮으면 다 좋은 줄 앎ㅋㅋㅋ
사람많이 몰릴까?,대전에 그냥 밥 먹으러가는거면 안 많을듯
어디동네 술집이 핫한가요?? 둔산동 괜찮나요?,갤러리아쪽
내일 젠지랑 DRX 4강하는날 아니였냐?,롤대남추
그냥 안좋은거 다 싸잡아다가 세대갈등 하려고 만든 용어같음 정작 mz세대란 말을 만든 사람은 그 세대가 아닐거 같은데,개억지라 어이가 없음 ㅋㅋㅋㅋ
https://twitter.com/bokkijaem/status/1586386534642896897?s=46&t=EPlONdflDKbhRL4kSq5hhQ,와 저게 뭐냐 돌에 사람에 깔리니까 빠지지도 않네
존나 어렵네 ㅋㅋ,아직 시작도 못함.. 너무 어려워
구급차앞에서 뭣같은 노래 틀고 춤추고 노래하고 자빠졌네 저게 사람인가 진짜 마약이라도 한거아님?어떻게 눈앞에서 사람들이 깔려죽었는데 이런짓을 할수가있는거지,그니까 진짜 미개하단말로도 부족해.. 지금 현재 일어나고있는 일이라는게 안믿김ㅋㅋ
담주 수업은 없는거지?,뭔 멍멍이 소리?
만약에 개인이 간단한 실험하려고 실험실 사용하고 싶은데 혹시 어떻게 해야 사용할 수 있을까요?? 학과사무실에 연락드려봐야되나요?,제가 알기론 개인 혼자면 안되고 어느정도 사람 모여야 되는걸로 알고있어요
당일치기도 재미있나??,그럼 별로 못놀듯
투썸서 일해본 친구들아 혹시 너희 일하면서 고객센터 '칭찬합니다' 같은 칭찬글같은거 받아본적 있어? 손님한테 직접 칭찬받은거 말구,없어...ㅋㅋㅋㅋㅋ
좃같다 정신 돌아버릴거같다 관리자? 조교?라고 해야하나  기본 반말에 너 이거해  야 이거 가져와 ㅇㅈㄹ 하는데 한두번 들었을땐 그냥 그러려니 하는데 계속 들으니깐 정신 나갈거같다.막상 자기보다 높은 사람오면 굽신굽신하는데 그거 보면 또 돌아버릴거같다꼬투리도 준나게 또잡는다 일정표 보고 셋팅 다 해놨는데도 일정 잡은 과에서 전화 와서 전화 왔다고 말하니깐 일정표는 안보냐 시전 봤다하니깐 정리 안해두냐 시전 정리 했다하니깐 입꾹닥 한다.다른과에서 전화 왔었다 말했는데도 기억 못하고 전화 왔는데 왜 말안했냐 ㅈㄹ 말했다니깐 아니다 ㅈㄹ 잘못되면 네가 책임질거냐 ㅈㄹ 정작 근무시간에 유튜브 본다.지건 아니 주먹마렵다 다시한번 졸업하고 사수 잘만나야겠다 1번생각하거 2번생각했다 다시한번 주먹 마려운 금요일 이였다,군대 다녀오면 그러려니합니다
이번 동아리공연 어땠어? 못봐서 아쉽..,나 처음부터 봤는뎈ㅋ 생각보다 다들 잘해서 놀랐어ㅋㅋㅋㅋㅋ
제발 대전 거주하면 시티즌 응원합시다.,내년에 대전에서 울산볼수있다!!
"입금하고 보낼때 송장번호 찍어서 보내달라고했는데2일지났는데 문자가안옴어제오늘 문자로 보냈냐고 물었는데 답이없음계좌, 전화번호 다 사기조회없고중나에서도 판매이력많은사람이던데사기당한거임?",사기겠지
참가하려는 쪽 입론만 쓰면 되는거죠?,둘 다 해야하는걸로 아는데요
재즈가 뭐라고 생각해?,뚭똬뛰리라라라 뚜비뚜봐뽬빠
다른 학교 학과 동아리 막 밴드부 이런 거 있다는데 우리 학교도 학과마다 동아리 있음?,예아
숙박하룻밤 얼마정도 해?,야놀자로 찾아봐
다맞은사람 많겠지?,일단 나
혹시 대전에 일요일에도 여는 노트북 수리점 아시는분 계시나요?? 급합니다ㅠㅠ,뭐가문제에요?
홈페이지에 찾아보니까 없어서 여기다 질문드립니다,없으니까 찾아도 없는거같네요
한마리 사야주나,어디서 팔아요?
1학기때 소나무동에서 청소용품이랑 뭐 선풍기부터 그런거 빌려준다는거 엘베에서 봤던것 같은데 아직도 가능하나?(인재동에도 그런 형식으로 빌려주는거 있나??,가능할걸
5:30부터 7시까지야?,ㅇㅇ
사이렌 소리 뭐임?,호미들
어느 정도였어?? 술 먹고 6시에 뻗어서 아무것도 못 느꼈어 ㅠㅠ,나도 꿀잠잔거 보면 별거 아닌듯
매력있어보임??,잘생긴 남자가
9개 몇나옴?,A+
회계학과였나요?,넹
기공실 신광복 교수님 보고서 양식 어디있는지 아는 사람? 저번에 나눠주셨는데 잃어버려서 못찾겠네요 심지어 친구도 없어서 복사도 못함,실험실가서 받으세요
40~70정도로 요즘 뭐가좋음?,"쿠어, 드로우핏"
바로채점되는거?,네 맞습니다
강의 같이 끊거나 남아있는 사람 나한테 팔사람??,나는 홍교수님 추천
바로 입주할게오 ㅠㅠ월세 관리비포함 35까지요!,1.5룸 가능한가요??
4개 맞았는데 기말 잘봐도 B 못나오겠지...?  ㅋㅋㅋ큐ㅠㅠㅠ,비는 가능해
계절학기 열리나요?,드랍은 지남
캬스톤디자인이 3학년때 하는거 아니예요?교육과정에는 4학년에 적혀있어서,4학년이요
다 물2얘기네..,ㅔ
15개면 평타?,자랑ㄴ
있음?있으면 쪽지나랑 보는거 아녀 장터게시판에 올렸는데 반응없어서,너랑은 못보는거야?
다들 잘 봄? 난 개망함,나도 한자리수
나 전날 새벽까지 안자서 쭉 자고있었거든..,잘자서 몰라
지금 시험장가도되나?,지금 다른사람들 시험볼걸?
보통 배치가 오버워치1때보다 낮게나오나?,mmr 초기화라 상관없어요~
가능?,Why 불가능?
시험볼때 폰으로 사파리로 들어가야해? 크롬? 네이버??,나 사파리로 들어갓는데
15500원 이던데 비싼거야?,어딜가도 그 가격 언저리임
카드잃어버리신분..?,카드번호는 가려주지
부족한 학점이 있어서 그런데4-2 끝나고 바로 계절학기 듣는건졸업할때 문제는 없죠?,가능합니다
운동장쪽에서 떨어뜨린거같은데 ㅠ,어제 애플펜슬 잃어버린 사람 물어보던데 에타에서
가끔 혼자 코노 가고싶은데 안에도 안보이고 문도 허름해서 열려있는건지 모르겠어..,ㅇㅇ하는거임
"저번에 누가 15,000 두꺼운건 20,000? 에 팔았는데 왜이리 비쌈?에타 보니까 5000~만원 한다는데 ㅈㄴ도둑놈",아쉬운 사람이 사는거지 시세가 어딧음
29장하는거임 안하는거임? 나는수업들었는데친구는안했다고해서,29.3까지일걸?
여자 아이돌들 찐팬들 와서 응원법이라고하나 그런거 외치는 무리 있었어???뮤직 프로그램에서 팬클럽이 응원하는것처럼,ㅇㅇ 앞에 서 있는 사람들은 응원봉까지 들고 있던데
남친 있으시려나,당연이지
니 ㅇㅇ쩔더라~ 드립침? 밈같은거임? 진짜 궁금해서 그럼,삭제된 댓글입니다.
남자친구 있나요..? 노래 너무 잘부르시고 이쁘세요...,ㅇㅈ 잘부르긴 했음
인이어나 에어팟을 끼고 부르면 이제 자기 목소리가 들리잖아요?공연하시면서 끼고 하시나요 안끼고 하시나요?,모니터 스피커가 있는경우 인이어를 빼고 할때도 있고 없으면 거의 필수로 끼는거 같아요
술마실래?,여자 세 명 덩치값한 형이랑 마실래?
인재동 4층에 미친 도둑놈 사냐 냉장고에서 남의 음료수 멋대로 먹고? 머리가 아예 없는 것도 아니고 남의 걸 드시냐고요 그리고 냉장고 앞에는 적발시 엄격 처벌이라고 해놓고 방재실 찾아가니까 못 보여준다고 경찰에 신고하라네 그깟 음료수 얼마나 한다는 식으로 말을 하네 음료수 가지고 경찰와야만 보여준다는 게 맞음? 그냥 복돈데? 이러면 그냥 아무나 막 가져가서 먹겠지,방마다 개인 냉장고좀 있었으면
나만 ㅈ같은가?,잘 몰라서그래.. 너그럽게 이해해줘
저 지갑을 축제때 분실 했는데 어디로 가야할지 모르겠어요..... 분실물센터 위치 학교 내에서 어딘지 알려주실수 있나요...?,무슨 지갑 이세요?
핸드폰으로 불빛 비춰서 찍은 사진 어디서 볼수있나요?,최예나 인스타 스토리
